["neural networks", 754.4627860270758]
["rectified linear activation function", 3.58351893845611]
["recursive perceptual representations", 3.58351893845611]
["related fullsequence training method", 3.58351893845611]
["scalable minimum bayes risk training", 3.58351893845611]
["scale visual recognition competition", 3.58351893845611]
["sectionibus conicis solem ambientium", 3.58351893845611]
["share similar statistical properties", 3.58351893845611]
["sharper probability density function", 3.58351893845611]
["sl  rl", 3.58351893845611]
["splice feature enhancement technique", 3.58351893845611]
["stateoftheart latent semantic models", 3.58351893845611]
["statistical predictor identification", 3.58351893845611]
["stochastic gradient descent presents", 3.58351893845611]
["successful initialization procedures", 3.58351893845611]
["supervised deep convolutional models", 3.58351893845611]
["technical report arxiv13125602  cslg", 3.58351893845611]
["technical report arxivorgabs13112524", 3.58351893845611]
["telephony speech recognition systems", 3.58351893845611]
["timeconsuming optimization procedure", 3.58351893845611]
["tisrimit acousticphonetic continuous", 3.58351893845611]
["transferable representation learning", 3.58351893845611]
["transferrable feature representation", 3.58351893845611]
["transitive transfer learning problem", 3.58351893845611]
["twentysixth international conference", 3.58351893845611]
["typical parallelized implementations", 3.58351893845611]
["undirected graphical models4 section", 3.58351893845611]
["unified neural network architectures", 3.58351893845611]
["universal sequential search problems", 3.58351893845611]
["unstructured posterior distributions", 3.58351893845611]
["unsupervised domain adaptation meets", 3.58351893845611]
["unsupervised learning neural network", 3.58351893845611]
["unsupervised representation learning", 3.58351893845611]
["w deng", 3.58351893845611]
["wh  µx", 3.58351893845611]
["wtabased unsupervised learning rules", 3.58351893845611]
["wwwcsjhuedumdredzedatasets sentiment", 3.58351893845611]
["x tang", 3.58351893845611]
["x zhou", 3.58351893845611]
["xsgs ˆ", 3.58351893845611]
["xt  dt", 3.58351893845611]
["xv  xc", 3.58351893845611]
["y lcyc", 3.58351893845611]
["y tang", 3.58351893845611]
["y xian", 3.58351893845611]
["λ  rpp", 3.58351893845611]
["joint conference", 3.564756928594004]
["20th international joint conference", 3.5553480614894135]
["acm sigkdd international conference", 3.5553480614894135]
["adaptive lowcomplexity slow feature", 3.5553480614894135]
["adaptivesubspace selforganizing map", 3.5553480614894135]
["additional global search strategies", 3.5553480614894135]
["algorithm combining soft label loss", 3.5553480614894135]
["approximate classification strategy", 3.5553480614894135]
["automatic learning rate adjustments", 3.5553480614894135]
["bayesianinformation theoretic model", 3.5553480614894135]
["bernoulli probability distributions", 3.5553480614894135]
["bing mobile business search dataset", 3.5553480614894135]
["classconditional density estimation", 3.5553480614894135]
["classical regularization techniques", 3.5553480614894135]
["computational intelligence magazine", 3.5553480614894135]
["continuous mixture output densities", 3.5553480614894135]
["continuous space translation models", 3.5553480614894135]
["contrast normalized training images", 3.5553480614894135]
["cornell university kqw4  cornelledu", 3.5553480614894135]
["cross modality information transfer", 3.5553480614894135]
["current machine learning algorithms", 3.5553480614894135]
["current stateoftheart architectures", 3.5553480614894135]
["data efficient neural reinforcement", 3.5553480614894135]
["deep canonical correlation analysis", 3.5553480614894135]
["deep discriminative neural networks", 3.5553480614894135]
["deep neural network acoustic models", 3.5553480614894135]
["detailed coding error distributions", 3.5553480614894135]
["deterministic finite state automata", 3.5553480614894135]
["discriminative unsupervised feature", 3.5553480614894135]
["distributed hierarchical processing", 3.5553480614894135]
["distributed representation approach", 3.5553480614894135]
["dnnbased bottleneckfeature approach", 3.5553480614894135]
["dynamical recurrent neural networks", 3.5553480614894135]
["effective selective search strategy", 3.5553480614894135]
["evolutionary function approximation", 3.5553480614894135]
["expensive bagofwords implementation", 3.5553480614894135]
["expensive noninceptiontype networks", 3.5553480614894135]
["extra hyperparameterthe probability", 3.5553480614894135]
["feedforward network error functions", 3.5553480614894135]
["gaussian potential function network", 3.5553480614894135]
["general undirected graphical models", 3.5553480614894135]
["generalized recirculation algorithm", 3.5553480614894135]
["genetic programming  yahoogroupscom", 3.5553480614894135]
["graphstructured configuration space", 3.5553480614894135]
["greedy layerwise training procedure", 3.5553480614894135]
["helped supercharge machine learning", 3.5553480614894135]
["hessianfree optimization techniques", 3.5553480614894135]
["hierarchical segmentation algorithm", 3.5553480614894135]
["highresolution photorealistic image", 3.5553480614894135]
["highspeed visual object recognition", 3.5553480614894135]
["human chess world champion kasparov", 3.5553480614894135]
["ieee computational intelligence mag", 3.5553480614894135]
["imagenet object classification task", 3.5553480614894135]
["increasingly general problem solver", 3.5553480614894135]
["incremental support vector learning", 3.5553480614894135]
["individual indomain characteristics", 3.5553480614894135]
["joint multimodal multitask learning", 3.5553480614894135]
["labeled intermediate data increases", 3.5553480614894135]
["labelling unsegmented sequence data", 3.5553480614894135]
["largemargin discriminative training", 3.5553480614894135]
["largescale speech recognition tasks", 3.5553480614894135]
["local receptive field architectures", 3.5553480614894135]
["low predictive generalization error", 3.5553480614894135]
["marginal probability distribution p", 3.5553480614894135]
["markov chain monte carlo algorithms", 3.5553480614894135]
["maximum mutual information training", 3.5553480614894135]
["modelbased algorithms approximate f", 3.5553480614894135]
["multilayer conditional random field", 3.5553480614894135]
["multiple hierarchical segmentations", 3.5553480614894135]
["multiple independent softmax losses", 3.5553480614894135]
["multiplicative activation functions", 3.5553480614894135]
["multiwriter handwriting recognition", 3.5553480614894135]
["national natural science foundation", 3.5553480614894135]
["natural image statistical structure", 3.5553480614894135]
["neural hierarchical temporal memory", 3.5553480614894135]
["nondiagonal conditional covariances", 3.5553480614894135]
["nonlinear feature extraction method", 3.5553480614894135]
["nonparametric functional estimation", 3.5553480614894135]
["numerous alternative hrl techniques", 3.5553480614894135]
["offtheshelf optimization algorithms", 3.5553480614894135]
["oldest feature extraction algorithm", 3.5553480614894135]
["onelayer neural network classifiers", 3.5553480614894135]
["oriented edge detectors reminiscent", 3.5553480614894135]
["parameter initialization techniques", 3.5553480614894135]
["partbased object recognition method", 3.5553480614894135]
["predicted probability distributions", 3.5553480614894135]
["r denote positive integer variables", 3.5553480614894135]
["realistic coarticulatory properties", 3.5553480614894135]
["realvalued error signal variable δt", 3.5553480614894135]
["recent pattern recognition contests", 3.5553480614894135]
["reconstruction probabilities yields", 3.5553480614894135]
["recurrent multitask neural networks", 3.5553480614894135]
["resilient backpropagation algorithm", 3.5553480614894135]
["runtime reconfigurable connectivity", 3.5553480614894135]
["salient statistical characteristics", 3.5553480614894135]
["semiparametric latent factor models", 3.5553480614894135]
["sequential constant size compressor", 3.5553480614894135]
["significant performance degradation", 3.5553480614894135]
["significant speed improve4in detail", 3.5553480614894135]
["similar recursive deep architecture", 3.5553480614894135]
["smaller computational learning cost", 3.5553480614894135]
["source domain complexity cplx_inter", 3.5553480614894135]
["sparse overcomplete representations", 3.5553480614894135]
["standard europarl translation tasks", 3.5553480614894135]
["standard feedforward neural network", 3.5553480614894135]
["standard gmmhmmbased acoustic model", 3.5553480614894135]
["stochastic regularization technique", 3.5553480614894135]
["successful deep learning techniques", 3.5553480614894135]
